area_type,availability,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,2 BHK,1060,2,2,58.06
Plot  Area,Ready To Move,6 BHK,710,6,3,160
Built-up  Area,Ready To Move,2 BHK,1000,2,2,70
Super built-up  Area,Panding,2 BHK,1000,2,1,28.88
Super built-up  Area,Ready To Move,3 BHK,1450,2,2,70
Plot  Area,Ready To Move,4 BHK,1200,4,2,155
Super built-up  Area,Panding,2 BHK,1296,2,3,80
Super built-up  Area,Ready To Move,3 BHK,1540,3,2,90
Plot  Area,Ready To Move,4 BHK,2894,4,1,245
Super built-up  Area,Ready To Move,3 BHK,1330,2,1,48
Built-up  Area,Ready To Move,2 BHK,1200,2,1,65
Built-up  Area,Ready To Move,3 BHK,1200,3,1,90
Super built-up  Area,Ready To Move,3 BHK,2502,3,3,138
Built-up  Area,Ready To Move,2 BHK,650,1,1,17
Plot  Area,Ready To Move,3 BHK,2400,2,1,150
Super built-up  Area,Ready To Move,2 BHK,1007,2,2,43
Super built-up  Area,Ready To Move,2 BHK,1200,2,2,50
Super built-up  Area,Ready To Move,2 BHK,966,2,2,49.9
Built-up  Area,Ready To Move,3 BHK,1630,2,1,98
Built-up  Area,Ready To Move,3 BHK,1640,3,2,229
Built-up  Area,Ready To Move,2 BHK,782,2,2,55.68
Super built-up  Area,Panding,2 BHK,1260,2,2,66.78
Super built-up  Area,Ready To Move,3 BHK,1800,3,3,120
Super built-up  Area,Ready To Move,3 BHK,1413,2,2,75
Super built-up  Area,Ready To Move,2 BHK,1116,2,1,51.91
Super built-up  Area,Ready To Move,3 BHK,1530,2,1,45.9
Built-up  Area,Ready To Move,4 BHK,3700,4,1,225
Built-up  Area,Ready To Move,3 BHK,2497,3,2,140
Super built-up  Area,Ready To Move,3 BHK,1540,2,3,64
Super built-up  Area,Panding,3 BHK,1436,3,1,74.75
Super built-up  Area,Panding,2 BHK,1100,2,2,75
Plot  Area,Ready To Move,2 BHK,276,3,3,23
Super built-up  Area,Ready To Move,3 BHK,1427,3,2,120
Super built-up  Area,Ready To Move,3 BHK,2061,3,1,200
Super built-up  Area,Panding,4 BHK,8156,4,0,477
Built-up  Area,Ready To Move,4 BHK,2650,4,2,150
Super built-up  Area,Panding,3 BHK,1282,2,2,68.52
Built-up  Area,Ready To Move,2 BHK,1050,2,1,34
Built-up  Area,Ready To Move,3 BHK,1600,3,2,65
Super built-up  Area,Panding,2 BHK,945,2,1,54
Super built-up  Area,Ready To Move,2 BHK,1500,2,1,78
Plot  Area,Ready To Move,7 BHK,950,7,0,115
Built-up  Area,Ready To Move,3 BHK,1870,3,3,110
Plot  Area,Ready To Move,3 BHK,1600,3,1,75
Super built-up  Area,Ready To Move,2 BHK,880,1,1,16.5
Plot  Area,Ready To Move,4 BHK,1200,4,0,210
Super built-up  Area,Ready To Move,3 BHK,1535,3,2,83
Built-up  Area,Ready To Move,2 BHK,950,2,1,57
Super built-up  Area,Panding,2 BHK,1360,2,1,65
Super built-up  Area,Panding,2 BHK,1105,2,0,54.005
Super built-up  Area,Panding,3 BHK,1280,3,1,50.4
Super built-up  Area,Panding,3 BHK,1260,2,2,85.05
Built-up  Area,Ready To Move,8 BHK,5000,8,,250
Super built-up  Area,Panding,5 BHK,3050,5,1,213
Super built-up  Area,Ready To Move,3 BHK,1563,3,1,105
Super built-up  Area,Ready To Move,2 BHK,1000,2,1,60
Super built-up  Area,Panding,2 BHK,1167,2,1,43.76
Super built-up  Area,Ready To Move,7 BHK,4000,7,2,225
Super built-up  Area,Ready To Move,3 BHK,1828,3,,110
Super built-up  Area,Ready To Move,2 BHK,890,2,1,35
Super built-up  Area,Ready To Move,3 BHK,1612,3,3,46.74
Plot  Area,Ready To Move,6 BHK,1034,5,,185
Super built-up  Area,Panding,3 BHK,1710,4,2,91.31
Super built-up  Area,Ready To Move,2 BHK,957,2,1,58
Super built-up  Area,Panding,3 BHK,1250,2,3,44
Super built-up  Area,Ready To Move,3 BHK,2795,4,,235
Super built-up  Area,Ready To Move,2 BHK,1125,2,2,50
Super built-up  Area,Panding,2 BHK,1020,2,1,30.6
Super built-up  Area,Ready To Move,2 BHK,1200,2,2,50
Super built-up  Area,Ready To Move,3 BHK,1735,3,3,135
Super built-up  Area,Ready To Move,3 BHK,2050,3,1,145
Plot  Area,Ready To Move,4 BHK,3750,4,0,760
Built-up  Area,Ready To Move,3 BHK,1350,2,3,48
Super built-up  Area,Panding,2 BHK,1063,2,1,32
Super built-up  Area,Ready To Move,3 BHK,1904,3,1,150
Built-up  Area,Ready To Move,4 BHK,4200,4,2,420
Super built-up  Area,Ready To Move,3 BHK,2000,3,1,175
Super built-up  Area,Panding,2 BHK,1340,2,0,43.49
Super built-up  Area,Ready To Move,3 BHK,1425,2,2,75
Super built-up  Area,Ready To Move,3 BHK,1500,2,1,64.5
Built-up  Area,Ready To Move,2 BHK,1060,2,1,60
Built-up  Area,Ready To Move,3 BHK,1470,2,2,70
Super built-up  Area,Ready To Move,6 BHK,1300,6,0,99
Super built-up  Area,Ready To Move,1 BHK,450,1,1,11
Super built-up  Area,Panding,2 BHK,1152,2,1,64.5
Super built-up  Area,Ready To Move,3 BHK,1350,2,1,56
Super built-up  Area,Ready To Move,3 BHK,1550,3,3,65
Plot  Area,Ready To Move,3 BHK,1500,3,2,100
Plot  Area,Ready To Move,5 BHK,600,3,2,85
Plot  Area,Ready To Move,1 BHK,400,1,0,14
Super built-up  Area,Ready To Move,1 BHK,705,1,2,67
Built-up  Area,Ready To Move,2 BHK,770,1,1,36
Super built-up  Area,Ready To Move,2 BHK,1242,2,3,51
Super built-up  Area,Ready To Move,3 BHK,1700,3,2,155
Super built-up  Area,Ready To Move,3 BHK,2144,3,2,145
Super built-up  Area,Panding,3 BHK,1704,3,2,110
Super built-up  Area,Ready To Move,2 BHK,1070,2,1,52
Plot  Area,Ready To Move,3 BHK,1846,3,2,300
Super built-up  Area,Ready To Move,2 BHK,1340,2,2,55.7
Built-up  Area,Ready To Move,2 BHK,1025,2,1,46
Super built-up  Area,Ready To Move,2 BHK,1540,2,0,56.8
Super built-up  Area,Ready To Move,2 BHK,1200,2,2,52
Built-up  Area,Panding,4 BHK,2250,4,1,110
Super built-up  Area,Ready To Move,3 BHK,1550,2,3,80
Plot  Area,Ready To Move,4 BHK,1200,5,,325
Plot  Area,Ready To Move,7 BHK,1800,7,1,250
Super built-up  Area,Ready To Move,2 BHK,1200,2,2,60
Super built-up  Area,Ready To Move,2 BHK,1327,2,2,98
Super built-up  Area,Ready To Move,2 BHK,1186,2,2,58
Built-up  Area,Ready To Move,3 BHK,1783,3,1,115
Super built-up  Area,Ready To Move,3 BHK,1400,3,2,56
Super built-up  Area,Ready To Move,2 BHK,980,2,1,48
Super built-up  Area,Ready To Move,2 BHK,1285,2,2,82
Super built-up  Area,Ready To Move,3 BHK,912,2,1,70
Built-up  Area,Ready To Move,2 BHK,1225,2,2,47.6
Super built-up  Area,Ready To Move,2 BHK,1075,2,1,53
Built-up  Area,Ready To Move,3 BHK,1260,2,2,54
Super built-up  Area,Ready To Move,3 BHK,1282,2,2,48.7
Super built-up  Area,Ready To Move,3 BHK,1909,3,2,88
Super built-up  Area,Ready To Move,2 BHK,1359,2,1,87
Built-up  Area,Ready To Move,2 BHK,1207,2,2,43.5
Plot  Area,Ready To Move,4 BHK,1736,6,0,190
Super built-up  Area,Panding,4 BHK,2850,4,1,428
Super built-up  Area,Ready To Move,3 BHK,1595,3,2,65
Built-up  Area,Panding,3 BHK,1798,3,2,89
Super built-up  Area,Ready To Move,3 BHK,1475,3,2,78.29
Super built-up  Area,Ready To Move,3 BHK,1580,3,3,100
Super built-up  Area,Ready To Move,2 BHK,1295,2,1,65
Built-up  Area,Ready To Move,6 BHK,3600,6,0,141
Super built-up  Area,Ready To Move,1 BHK,589,1,1,27
Super built-up  Area,Ready To Move,3 BHK,1415,3,3,78
Super built-up  Area,Panding,3 BHK,1787,3,2,98.29
Super built-up  Area,Ready To Move,3 BHK,1787,3,2,125
Super built-up  Area,Ready To Move,3 BHK,1475,2,3,90
Built-up  Area,Ready To Move,4 BHK,2000,4,1,75.5
Super built-up  Area,Panding,2 BHK,984,2,1,44.28
Super built-up  Area,Panding,3 BHK,1740,,,74.82
Super built-up  Area,Ready To Move,3 BHK,2405,4,2,260
Built-up  Area,Ready To Move,2 BHK,1080,2,2,72
Plot  Area,Ready To Move,2 BHK,1500,2,1,115
Super built-up  Area,Ready To Move,3 BHK,1900,3,2,119
Super built-up  Area,Panding,2 BHK,805,2,1,22.14
Super built-up  Area,Ready To Move,2 BHK,1153,2,2,56.4
Super built-up  Area,Ready To Move,2 BHK,1148,2,2,60
Super built-up  Area,Ready To Move,2 BHK,1110,2,2,55
Built-up  Area,Ready To Move,2 BHK,1100,2,2,42
Super built-up  Area,Ready To Move,2 BHK,1290,2,2,110
Super built-up  Area,Ready To Move,3 BHK,1500,2,1,65
Super built-up  Area,Panding,2 BHK,1080,2,2,39
Super built-up  Area,Panding,3 BHK,1933,3,1,129
Built-up  Area,Ready To Move,5 BHK,3500,5,2,150
Built-up  Area,Ready To Move,2 BHK,1060,2,2,60
Super built-up  Area,Panding,1 BHK,645,1,1,16.45
Plot  Area,Ready To Move,8 BHK,2600,8,2,180
Super built-up  Area,Panding,1 BHK,645,1,1,16.45
Super built-up  Area,Ready To Move,3 BHK,1644,3,3,84
Super built-up  Area,Ready To Move,2 BHK,1285,2,3,72.5
Plot  Area,Ready To Move,3 BHK,1200,3,1,90
Super built-up  Area,Ready To Move,2 BHK,910,2,1,40
Super built-up  Area,Ready To Move,3 BHK,1577,3,1,70
Plot  Area,Panding,3 BHK,4050,3,2,280
Super built-up  Area,Ready To Move,3 BHK,2420,3,2,185
Super built-up  Area,Ready To Move,2 BHK,800,1,1,20
